3 iter 73: count 321, IS ODD, proceeding
0 iter 81: count 322, IS EVEN, proceeding
3 iter 74: count 323, IS ODD, proceeding
2 iter 80: count 324, IS EVEN, proceeding
1 iter 87: count 325, IS ODD, proceeding
0 iter 82: count 326, IS EVEN, proceeding
3 iter 75: count 327, IS ODD, proceeding
2 iter 81: count 328, IS EVEN, proceeding
1 iter 88: count 329, IS ODD, proceeding
0 iter 83: count 330, IS EVEN, proceeding
3 iter 76: count 331, IS ODD, proceeding
0 iter 84: count 332, IS EVEN, proceeding
3 iter 77: count 333, IS ODD, proceeding
2 iter 82: count 334, IS EVEN, proceeding
3 iter 78: count 335, IS ODD, proceeding
0 iter 85: count 336, IS EVEN, proceeding
1 iter 89: count 337, IS ODD, proceeding
2 iter 83: count 338, IS EVEN, proceeding
3 iter 79: count 339, IS ODD, proceeding
0 iter 86: count 340, IS EVEN, proceeding
3 iter 80: count 341, IS ODD, proceeding
0 iter 87: count 342, IS EVEN, proceeding
3 iter 81: count 343, IS ODD, proceeding
2 iter 84: count 344, IS EVEN, proceeding
3 iter 82: count 345, IS ODD, proceeding
0 iter 88: count 346, IS EVEN, proceeding
3 iter 83: count 347, IS ODD, proceeding
2 iter 85: count 348, IS EVEN, proceeding
1 iter 90: count 349, IS ODD, proceeding
0 iter 89: count 350, IS EVEN, proceeding
3 iter 84: count 351, IS ODD, proceeding
0 iter 90: count 352, IS EVEN, proceeding
1 iter 91: count 353, IS ODD, proceeding
2 iter 86: count 354, IS EVEN, proceeding
3 iter 85: count 355, IS ODD, proceeding
2 iter 87: count 356, IS EVEN, proceeding
1 iter 92: count 357, IS ODD, proceeding
0 iter 91: count 358, IS EVEN, proceeding
3 iter 86: count 359, IS ODD, proceeding
0 iter 92: count 360, IS EVEN, proceeding
1 iter 93: count 361, IS ODD, proceeding
0 iter 93: count 362, IS EVEN, proceeding
3 iter 87: count 363, IS ODD, proceeding
0 iter 94: count 364, IS EVEN, proceeding
3 iter 88: count 365, IS ODD, proceeding
2 iter 88: count 366, IS EVEN, proceeding
3 iter 89: count 367, IS ODD, proceeding
0 iter 95: count 368, IS EVEN, proceeding
3 iter 90: count 369, IS ODD, proceeding
2 iter 89: count 370, IS EVEN, proceeding
1 iter 94: count 371, IS ODD, proceeding
2 iter 90: count 372, IS EVEN, proceeding
3 iter 91: count 373, IS ODD, proceeding
0 iter 96: count 374, IS EVEN, proceeding
1 iter 95: count 375, IS ODD, proceeding
2 iter 91: count 376, IS EVEN, proceeding
1 iter 96: count 377, IS ODD, proceeding
0 iter 97: count 378, IS EVEN, proceeding
1 iter 97: count 379, IS ODD, proceeding
0 iter 98: count 380, IS EVEN, proceeding
3 iter 92: count 381, IS ODD, proceeding
0 iter 99: count 382, IS EVEN, proceeding
3 iter 93: count 383, IS ODD, proceeding
2 iter 92: count 384, IS EVEN, proceeding
1 iter 98: count 385, IS ODD, proceeding
0 iter 100: count 386, IS EVEN, proceeding
3 iter 94: count 387, IS ODD, proceeding
2 iter 93: count 388, IS EVEN, proceeding
3 iter 95: count 389, IS ODD, proceeding
2 iter 94: count 390, IS EVEN, proceeding
1 iter 99: count 391, IS ODD, proceeding
2 iter 95: count 392, IS EVEN, proceeding
1 iter 100: count 393, IS ODD, proceeding
2 iter 96: count 394, IS EVEN, proceeding
1 iter 101: count 395, IS ODD, proceeding
0 iter 101: count 396, IS EVEN, proceeding
1 iter 102: count 397, IS ODD, proceeding
2 iter 97: count 398, IS EVEN, proceeding
3 iter 96: count 399, IS ODD, proceeding
0 iter 102: count 400, IS EVEN, proceeding
1 iter 103: count 401, IS ODD, proceeding
2 iter 98: count 402, IS EVEN, proceeding
1 iter 104: count 403, IS ODD, proceeding
0 iter 103: count 404, IS EVEN, proceeding
3 iter 97: count 405, IS ODD, proceeding
2 iter 99: count 406, IS EVEN, proceeding
1 iter 105: count 407, IS ODD, proceeding
0 iter 104: count 408, IS EVEN, proceeding
1 iter 106: count 409, IS ODD, proceeding
2 iter 100: count 410, IS EVEN, proceeding
3 iter 98: count 411, IS ODD, proceeding
2 iter 101: count 412, IS EVEN, proceeding
3 iter 99: count 413, IS ODD, proceeding
0 iter 105: count 414, IS EVEN, proceeding
1 iter 107: count 415, IS ODD, proceeding
0 iter 106: count 416, IS EVEN, proceeding
1 iter 108: count 417, IS ODD, proceeding
2 iter 102: count 418, IS EVEN, proceeding
1 iter 109: count 419, IS ODD, proceeding
2 iter 103: count 420, IS EVEN, proceeding
3 iter 100: count 421, IS ODD, proceeding
2 iter 104: count 422, IS EVEN, proceeding
1 iter 110: count 423, IS ODD, proceeding
2 iter 105: count 424, IS EVEN, proceeding
1 iter 111: count 425, IS ODD, proceeding
2 iter 106: count 426, IS EVEN, proceeding
3 iter 101: count 427, IS ODD, proceeding
0 iter 107: count 428, IS EVEN, proceeding
1 iter 112: count 429, IS ODD, proceeding
2 iter 107: count 430, IS EVEN, proceeding
3 iter 102: count 431, IS ODD, proceeding
2 iter 108: count 432, IS EVEN, proceeding
1 iter 113: count 433, IS ODD, proceeding
0 iter 108: count 434, IS EVEN, proceeding
1 iter 114: count 435, IS ODD, proceeding
0 iter 109: count 436, IS EVEN, proceeding
1 iter 115: count 437, IS ODD, proceeding
2 iter 109: count 438, IS EVEN, proceeding
1 iter 116: count 439, IS ODD, proceeding
0 iter 110: count 440, IS EVEN, proceeding
3 iter 103: count 441, IS ODD, proceeding
2 iter 110: count 442, IS EVEN, proceeding
1 iter 117: count 443, IS ODD, proceeding
2 iter 111: count 444, IS EVEN, proceeding
3 iter 104: count 445, IS ODD, proceeding
2 iter 112: count 446, IS EVEN, proceeding
1 iter 118: count 447, IS ODD, proceeding
2 iter 113: count 448, IS EVEN, proceeding
3 iter 105: count 449, IS ODD, proceeding
2 iter 114: count 450, IS EVEN, proceeding
1 iter 119: count 451, IS ODD, proceeding
0 iter 111: count 452, IS EVEN, proceeding
1 iter 120: count 453, IS ODD, proceeding
2 iter 115: count 454, IS EVEN, proceeding
3 iter 106: count 455, IS ODD, proceeding
0 iter 112: count 456, IS EVEN, proceeding
3 iter 107: count 457, IS ODD, proceeding
2 iter 116: count 458, IS EVEN, proceeding
1 iter 121: count 459, IS ODD, proceeding
0 iter 113: count 460, IS EVEN, proceeding
3 iter 108: count 461, IS ODD, proceeding
0 iter 114: count 462, IS EVEN, proceeding
